Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در چه منطقه ای است ؟, بیدهند در چه منطقه ای است ؟,"[('بیدهند', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",بیدهند,['http://fkg.iust.ac.ir/resource/بیدهند'],ns0__location_&_ns0__district_&_ns0__part,['شهرستان نطنز'],['http://fkg.iust.ac.ir/resource/شهرستان_نطنز']
<ENT> جای چه کسی را گرفت ؟, شاه سلیمان جای چه کسی را گرفت ؟,"[('شاه', 'B_ent'), ('سلیمان', 'I_ent'), ('جای', 'O'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('گرفت', 'O'), ('؟', 'O')]",شاه سلیمان,['http://fkg.iust.ac.ir/resource/شاه_سلیمان'],ns0__predecessor,['شاه عباس دوم'],['http://fkg.iust.ac.ir/resource/شاه_عباس_دوم']
<ENT> در کجا به دنیا امده است؟, رابرت ویدال در کجا به دنیا امده است؟,"[('رابرت', 'B_ent'), ('ویدال', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",رابرت ویدال,['http://fkg.iust.ac.ir/resource/رابرت_ویدال'],ns0__birthPlace,"['دوون  شهرستان', 'انگلستان']","['http://fkg.iust.ac.ir/resource/دوون_(شهرستان)', 'http://fkg.iust.ac.ir/resource/انگلستان']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ ویرجینیا وایدلر کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('ویرجینیا', 'B_ent'), ('وایدلر', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",ویرجینیا وایدلر,['http://fkg.iust.ac.ir/resource/ویرجینیا_وایدلر'],ns0__deathPlace,"['لس آنجلس', 'کالیفرنیا', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/لس_آنجلس', 'http://fkg.iust.ac.ir/resource/کالیفرنیا', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
<ENT> در کجا متولد شد ؟, آنتونی کوئین در کجا متولد شد ؟,"[('آنتونی', 'B_ent'), ('کوئین', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آنتونی کوئین,['http://fkg.iust.ac.ir/resource/آنتونی_کوئین'],ns0__birthPlace,"['چی واوا  ایالت چی واوا', 'مکزیک']","['http://fkg.iust.ac.ir/resource/چی\u200cواوا_(ایالت_چی\u200cواوا)', 'http://fkg.iust.ac.ir/resource/مکزیک']"
ستاره معروف <ENT> کیست ؟,ستاره معروف نبوغ کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('نبوغ', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",نبوغ,['http://fkg.iust.ac.ir/resource/نبوغ_(فیلم_۲۰۰۹)'],ns0__starring,"['ادی جمیسن', 'جرمی رنر', 'ریچارد کیند', 'آیلیت زورر', 'دالاس رابرتس', 'مارگریت مورو']","['http://fkg.iust.ac.ir/resource/ادی_جمیسن', 'http://fkg.iust.ac.ir/resource/جرمی_رنر', 'http://fkg.iust.ac.ir/resource/ریچارد_کیند', 'http://fkg.iust.ac.ir/resource/آیلیت_زورر', 'http://fkg.iust.ac.ir/resource/دالاس_رابرتس', 'http://fkg.iust.ac.ir/resource/مارگریت_مورو']"
<ENT> ملیتش چیه ؟, اسپاتیسوود ایتکن ملیتش چیه ؟,"[('اسپاتیسوود', 'B_ent'), ('ایتکن', 'I_ent'), ('ملیتش', 'O'), ('چیه', 'O'), ('؟', 'O')]",اسپاتیسوود ایتکن,['http://fkg.iust.ac.ir/resource/اسپاتیسوود_ایتکن'],ns0__nationality,['اسکاتلند'],['http://fkg.iust.ac.ir/resource/اسکاتلند']
<ENT> در کجا متولد شد ؟, دنیل گیزا در کجا متولد شد ؟,"[('دنیل', 'B_ent'), ('گیزا', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",دنیل گیزا,['http://fkg.iust.ac.ir/resource/دنیل_گیزا'],ns0__birthPlace,"['اسپانیا', 'جرز د لا فرونترا']","['http://fkg.iust.ac.ir/resource/اسپانیا', 'http://fkg.iust.ac.ir/resource/جرز_د_لا_فرونترا']"
<ENT> از توابع کدام شهر است ؟, اسطاهوییه از توابع کدام شهر است ؟,"[('اسطاهوییه', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",اسطاهوییه,['http://fkg.iust.ac.ir/resource/اسطاهوییه'],ns0__village,['شهرستان رفسنجان'],['http://fkg.iust.ac.ir/resource/شهرستان_رفسنجان']
<ENT> به چه جنسی تعلق دارد ؟, شنگ هندی به چه جنسی تعلق دارد ؟,"[('شنگ', 'B_ent'), ('هندی', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",شنگ هندی,['http://fkg.iust.ac.ir/resource/شنگ_هندی'],ns0__order_&_ns0__family_&_ns0__genus,"['گوشت خوارسانان', 'راسویان', 'شنگ های جنوب']","['http://fkg.iust.ac.ir/resource/گوشت\u200cخوارسانان', 'http://fkg.iust.ac.ir/resource/راسویان', 'http://fkg.iust.ac.ir/resource/شنگ\u200cهای_جنوب']"
پدید آورنده ی <ENT> کیست؟,پدید آورنده ی دودی بگیر کیست؟,"[('پدید', 'O'), ('آورنده', 'O'), ('ی', 'O'), ('دودی', 'B_ent'), ('بگیر', 'I_ent'), ('کیست؟', 'O')]",دودی بگیر,['http://fkg.iust.ac.ir/resource/دودی_بگیر'],ns0__writer,['راجر واترز'],['http://fkg.iust.ac.ir/resource/راجر_واترز']
<ENT> در چه منطقه ای است ؟, شاه‌گدارمحمد در چه منطقه ای است ؟,"[('شاه\u200cگدارمحمد', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",شاه‌گدارمحمد,['http://fkg.iust.ac.ir/resource/شاه\u200cگدارمحمد'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان ثلاث باباجانی', 'بخش مرکزی شهرستان ثلاث باباجانی']","['http://fkg.iust.ac.ir/resource/شهرستان_ثلاث_باباجانی', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_ثلاث_باباجانی']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در شارادا نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('شارادا', 'B_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",شارادا,['http://fkg.iust.ac.ir/resource/شارادا_(فیلم_۱۹۵۷)'],ns0__starring,"['Shyama', 'Manorama', 'مینا کوماری', 'راج کاپور', 'Anita Guha']","['http://fkg.iust.ac.ir/resource/Shyama', 'http://fkg.iust.ac.ir/resource/Manorama', 'http://fkg.iust.ac.ir/resource/مینا_کوماری', 'http://fkg.iust.ac.ir/resource/راج_کاپور', 'http://fkg.iust.ac.ir/resource/Anita_Guha']"
<ENT> از توابع کدام شهر است ؟, دوسران از توابع کدام شهر است ؟,"[('دوسران', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",دوسران,['http://fkg.iust.ac.ir/resource/دوسران'],ns0__village,['شهرستان زنجان'],['http://fkg.iust.ac.ir/resource/شهرستان_زنجان']
محل مرگ  <ENT>   کجاست ؟,محل مرگ رابرت هنرای کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('رابرت', 'B_ent'), ('هنرای', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",رابرت هنرای,['http://fkg.iust.ac.ir/resource/رابرت_هنرای'],ns0__deathPlace,['نیویورک'],['http://fkg.iust.ac.ir/resource/نیویورک']
<ENT> جای چه کسی را گرفت ؟, بیوک لاکراس جای چه کسی را گرفت ؟,"[('بیوک', 'B_ent'), ('لاکراس', 'I_ent'), ('جای', 'O'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('گرفت', 'O'), ('؟', 'O')]",بیوک لاکراس,['http://fkg.iust.ac.ir/resource/بیوک_لاکراس'],ns0__predecessor,"['بیوک سنچری', 'بیوک ریگال', 'بیوک لوسرن']","['http://fkg.iust.ac.ir/resource/بیوک_سنچری', 'http://fkg.iust.ac.ir/resource/بیوک_ریگال', 'http://fkg.iust.ac.ir/resource/بیوک_لوسرن']"
<ENT> در چه شهری قرار دارد ؟, گاوپل در چه شهری قرار دارد ؟,"[('گاوپل', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",گاوپل,['http://fkg.iust.ac.ir/resource/گاوپل'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان تنکابن', 'بخش خرم آباد']","['http://fkg.iust.ac.ir/resource/شهرستان_تنکابن', 'http://fkg.iust.ac.ir/resource/بخش_خرم\u200cآباد']"
<ENT> به چه جنسی تعلق دارد ؟, آنول مارتینیک به چه جنسی تعلق دارد ؟,"[('آنول', 'B_ent'), ('مارتینیک', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",آنول مارتینیک,['http://fkg.iust.ac.ir/resource/آنول_مارتینیک'],ns0__order_&_ns0__family_&_ns0__genus,"['پولک داران', 'آنول  سرده']","['http://fkg.iust.ac.ir/resource/پولک\u200cداران', 'http://fkg.iust.ac.ir/resource/آنول_(سرده)']"
<ENT> در چه ژانری است ؟‌, شگفتی‌های بیکران آفرینش در چه ژانری است ؟‌,"[('شگفتی\u200cهای', 'B_ent'), ('بیکران', 'I_ent'), ('آفرینش', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('ژانری', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",شگفتی‌های بیکران آفرینش,['http://fkg.iust.ac.ir/resource/شگفتی\u200cهای_بیکران_آفرینش'],ns0__genre,"['سمفونیک متال', 'پاور متال']","['http://fkg.iust.ac.ir/resource/سمفونیک_متال', 'http://fkg.iust.ac.ir/resource/پاور_متال']"
<ENT> در چه شهری قرار دارد ؟, بیشه خشکو در چه شهری قرار دارد ؟,"[('بیشه', 'B_ent'), ('خشکو', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",بیشه خشکو,['http://fkg.iust.ac.ir/resource/بیشه_خشکو'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان بهمئی', 'بخش مرکزی شهرستان بهمئی']","['http://fkg.iust.ac.ir/resource/شهرستان_بهمئی', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بهمئی']"
<ENT> در کجا به دنیا امده است؟, دننیس هک در کجا به دنیا امده است؟,"[('دننیس', 'B_ent'), ('هک', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",دننیس هک,['http://fkg.iust.ac.ir/resource/دننیس_هک'],ns0__birthPlace,['ونکوور  واشینگتن'],['http://fkg.iust.ac.ir/resource/ونکوور،_واشینگتن']
<ENT>  ساخت کجاست ؟, آنتونوف ای‌ان-۳۰ ساخت کجاست ؟,"[('آنتونوف', 'B_ent'), ('ای\u200cان-۳۰', 'I_ent'), ('ساخت', 'O'), ('کجاست', 'O'), ('؟', 'O')]",آنتونوف ای‌ان-۳۰,['http://fkg.iust.ac.ir/resource/آنتونوف_ای\u200cان-۳۰'],ns0__manufacturer,['آنتونوف'],['http://fkg.iust.ac.ir/resource/آنتونوف']
<ENT> از توابع کدام شهر است ؟, بیلت از توابع کدام شهر است ؟,"[('بیلت', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",بیلت,['http://fkg.iust.ac.ir/resource/بیلت'],ns0__village,['شهرستان اردستان'],['http://fkg.iust.ac.ir/resource/شهرستان_اردستان']
<ENT> ساخت کدام کارخانه است ؟, گلف‌استریم جی۲۸۰ ساخت کدام کارخانه است ؟,"[('گلف\u200cاستریم', 'B_ent'), ('جی۲۸۰', 'I_ent'), ('ساخت', 'O'), ('کدام', 'O'), ('کارخانه', 'O'), ('است', 'O'), ('؟', 'O')]",گلف‌استریم جی۲۸۰,['http://fkg.iust.ac.ir/resource/گلف\u200cاستریم_جی۲۸۰'],ns0__manufacturer,['گلف استریم اروسپیس'],['http://fkg.iust.ac.ir/resource/گلف\u200cاستریم_اروسپیس']
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در راه طولانی نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('راه', 'B_ent'), ('طولانی', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",راه طولانی,['http://fkg.iust.ac.ir/resource/راه_طولانی'],ns0__starring,"['رضا کیانیان', 'مهروز ناصرشریف', 'پرویز پورحسینی', 'شهرزاد کمال زاده', 'خاطره حاتمی', 'بیژن بنفشه خواه', 'افسانه بایگان']","['http://fkg.iust.ac.ir/resource/رضا_کیانیان', 'http://fkg.iust.ac.ir/resource/مهروز_ناصرشریف', 'http://fkg.iust.ac.ir/resource/پرویز_پورحسینی', 'http://fkg.iust.ac.ir/resource/شهرزاد_کمال_زاده', 'http://fkg.iust.ac.ir/resource/خاطره_حاتمی', 'http://fkg.iust.ac.ir/resource/بیژن_بنفشه\u200cخواه', 'http://fkg.iust.ac.ir/resource/افسانه_بایگان']"
چه کسی کارگردان  <ENT> می باشد ؟,چه کسی کارگردان راه رفتن مرد مرده می باشد ؟,"[('چه', 'O'), ('کسی', 'O'), ('کارگردان', 'O'), ('راه', 'B_ent'), ('رفتن', 'I_ent'), ('مرد', 'I_ent'), ('مرده', 'I_ent'), ('می', 'O'), ('باشد', 'O'), ('؟', 'O')]",راه رفتن مرد مرده,['http://fkg.iust.ac.ir/resource/راه_رفتن_مرد_مرده_(فیلم)'],ns0__director,['تیم رابینز'],['http://fkg.iust.ac.ir/resource/تیم_رابینز']
<ENT> در چه شهری قرار دارد ؟, تنگ سبز در چه شهری قرار دارد ؟,"[('تنگ', 'B_ent'), ('سبز', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",تنگ سبز,['http://fkg.iust.ac.ir/resource/تنگ_سبز'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان بم', 'شهرستان بم']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بم', 'http://fkg.iust.ac.ir/resource/شهرستان_بم']"
زادگاه  <ENT> کجاست ؟‌,زادگاه ویلیام لیندسی کجاست ؟‌,"[('زادگاه', 'O'), ('ویلیام', 'B_ent'), ('لیندسی', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",ویلیام لیندسی,['http://fkg.iust.ac.ir/resource/ویلیام_لیندسی'],ns0__birthPlace,"['ویرجینیا', 'لکسینگتون  ویرجینیا']","['http://fkg.iust.ac.ir/resource/ویرجینیا', 'http://fkg.iust.ac.ir/resource/لکسینگتون،_ویرجینیا']"
<ENT> در چه منطقه ای است ؟, دوخواهران در چه منطقه ای است ؟,"[('دوخواهران', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",دوخواهران,['http://fkg.iust.ac.ir/resource/دوخواهران'],ns0__location_&_ns0__district_&_ns0__part,"['بخش سیلاخور', 'استان لرستان']","['http://fkg.iust.ac.ir/resource/بخش_سیلاخور', 'http://fkg.iust.ac.ir/resource/استان_لرستان']"
چه کسی تهیه کننده  <ENT> است ؟,چه کسی تهیه کننده تفریح است ؟,"[('چه', 'O'), ('کسی', 'O'), ('تهیه', 'O'), ('کننده', 'O'), ('تفریح', 'B_ent'), ('است', 'O'), ('؟', 'O')]",تفریح,['http://fkg.iust.ac.ir/resource/تفریح_(فیلم)'],ns0__producer,['مک سنت'],['http://fkg.iust.ac.ir/resource/مک_سنت']
<ENT> در چه منطقه ای است ؟, ریماروو در چه منطقه ای است ؟,"[('ریماروو', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",ریماروو,['http://fkg.iust.ac.ir/resource/ریماروو'],ns0__location_&_ns0__district_&_ns0__part,['شهرستان برونتال'],['http://fkg.iust.ac.ir/resource/شهرستان_برونتال']
ملیت <ENT> کجاست ؟,ملیت تیامات کجاست ؟,"[('ملیت', 'O'), ('تیامات', 'B_ent'), ('کجاست', 'O'), ('؟', 'O')]",تیامات,['http://fkg.iust.ac.ir/resource/تیامات_(گروه_موسیقی)'],ns0__nationality,"['استکهلم', 'سوئد']","['http://fkg.iust.ac.ir/resource/استکهلم', 'http://fkg.iust.ac.ir/resource/سوئد']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ چستر فرانکلین کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('چستر', 'B_ent'), ('فرانکلین', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",چستر فرانکلین,['http://fkg.iust.ac.ir/resource/چستر_فرانکلین'],ns0__deathPlace,['لس آنجلس'],['http://fkg.iust.ac.ir/resource/لس_آنجلس']
<ENT> در چه ژانری است ؟‌, شام عروسی در چه ژانری است ؟‌,"[('شام', 'B_ent'), ('عروسی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('ژانری', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",شام عروسی,['http://fkg.iust.ac.ir/resource/شام_عروسی'],ns0__genre,['کمدی'],['http://fkg.iust.ac.ir/resource/کمدی']
چه کسی موسیقی  <ENT> را ساخت ؟,چه کسی موسیقی ریو گرانده را ساخت ؟,"[('چه', 'O'), ('کسی', 'O'), ('موسیقی', 'O'), ('ریو', 'B_ent'), ('گرانده', 'I_ent'), ('را', 'O'), ('ساخت', 'O'), ('؟', 'O')]",ریو گرانده,['http://fkg.iust.ac.ir/resource/ریو_گرانده_(فیلم)'],ns0__musicComposer,['ویکتور یانگ'],['http://fkg.iust.ac.ir/resource/ویکتور_یانگ']
چه کسی تهیه کننده  <ENT> است ؟,چه کسی تهیه کننده اسب تیره است ؟,"[('چه', 'O'), ('کسی', 'O'), ('تهیه', 'O'), ('کننده', 'O'), ('اسب', 'B_ent'), ('تیره', 'I_ent'), ('است', 'O'), ('؟', 'O')]",اسب تیره,"['http://fkg.iust.ac.ir/resource/اسب_تیره', 'http://fkg.iust.ac.ir/resource/اسب_تیره_(آلبوم_نیکل\u200cبک)']",ns0__producer,"['دکتر لوک', 'مکس مارتین', 'نیکل بک', 'Robert John Mutt Lange', 'Joey Moi']","['http://fkg.iust.ac.ir/resource/دکتر_لوک', 'http://fkg.iust.ac.ir/resource/مکس_مارتین', 'http://fkg.iust.ac.ir/resource/نیکل\u200cبک', 'http://fkg.iust.ac.ir/resource/Robert_John_Mutt_Lange', 'http://fkg.iust.ac.ir/resource/Joey_Moi']"
<ENT> در کجا متولد شد ؟, آریانا خیل در کجا متولد شد ؟,"[('آریانا', 'B_ent'), ('خیل', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آریانا خیل,['http://fkg.iust.ac.ir/resource/آریانا_خیل'],ns0__birthPlace,"['اسپانیا', 'بارسلون']","['http://fkg.iust.ac.ir/resource/اسپانیا', 'http://fkg.iust.ac.ir/resource/بارسلون']"
تخصص <ENT> در چه زمینه ای بود ؟,تخصص استیو راسل در چه زمینه ای بود ؟,"[('تخصص', 'O'), ('استیو', 'B_ent'), ('راسل', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('زمینه', 'O'), ('ای', 'O'), ('بود', 'O'), ('؟', 'O')]",استیو راسل,['http://fkg.iust.ac.ir/resource/استیو_راسل'],ns0__academicDiscipline,['علوم رایانه'],['http://fkg.iust.ac.ir/resource/علوم_رایانه']
<ENT> در چه منطقه ای است ؟, گلکویه در چه منطقه ای است ؟,"[('گلکویه', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",گلکویه,['http://fkg.iust.ac.ir/resource/گلکویه'],ns0__location_&_ns0__district_&_ns0__part,"['بخش ایزدخواست', 'استان فارس']","['http://fkg.iust.ac.ir/resource/بخش_ایزدخواست', 'http://fkg.iust.ac.ir/resource/استان_فارس']"
